w_signal,w_4b_cut,seed,signal_ratio,n_3b,noise_scale
0.537246,0.2,1,0.05,100000,0.01
0.5890506,0.25,1,0.05,100000,0.01
0.6323987,0.3,1,0.05,100000,0.01
0.6760946,0.35000000000000003,1,0.05,100000,0.01
0.7041015,0.4,1,0.05,100000,0.01
0.7462224,0.45,1,0.05,100000,0.01
0.78441703,0.5,1,0.05,100000,0.01
0.81079626,0.55,1,0.05,100000,0.01
0.8399512,0.6000000000000001,1,0.05,100000,0.01
0.8637359,0.6500000000000001,1,0.05,100000,0.01
0.8808469,0.7000000000000001,1,0.05,100000,0.01
0.89919126,0.7500000000000001,1,0.05,100000,0.01
0.9182413,0.8,1,0.05,100000,0.01
0.93674314,0.8500000000000001,1,0.05,100000,0.01
0.9583508,0.9000000000000001,1,0.05,100000,0.01
0.97839093,0.9500000000000001,1,0.05,100000,0.01
0.44970718,0.05,2,0.05,100000,1.0
0.528239,0.1,2,0.05,100000,1.0
0.58694804,0.15000000000000002,2,0.05,100000,1.0
0.6290187,0.2,2,0.05,100000,1.0
0.6651755,0.25,2,0.05,100000,1.0
0.71081245,0.3,2,0.05,100000,1.0
0.75732386,0.35000000000000003,2,0.05,100000,1.0
0.792404,0.4,2,0.05,100000,1.0
0.8237877,0.45,2,0.05,100000,1.0
0.8531344,0.5,2,0.05,100000,1.0
0.889019,0.55,2,0.05,100000,1.0
0.9175266,0.6000000000000001,2,0.05,100000,1.0
0.9345506,0.6500000000000001,2,0.05,100000,1.0
0.95218104,0.7000000000000001,2,0.05,100000,1.0
0.9695498,0.7500000000000001,2,0.05,100000,1.0
0.9814478,0.8,2,0.05,100000,1.0
0.99345464,0.8500000000000001,2,0.05,100000,1.0
0.9990686,0.9000000000000001,2,0.05,100000,1.0
1.0000004,0.9500000000000001,2,0.05,100000,1.0
0.052754756,0.05,2,0.05,100000,0.001
0.0963471,0.1,2,0.05,100000,0.001
0.1606268,0.15000000000000002,2,0.05,100000,0.001
0.2156858,0.2,2,0.05,100000,0.001
0.2681149,0.25,2,0.05,100000,0.001
0.31911603,0.3,2,0.05,100000,0.001
0.3731265,0.35000000000000003,2,0.05,100000,0.001
0.4407843,0.4,2,0.05,100000,0.001
0.50972146,0.45,2,0.05,100000,0.001
0.5727745,0.5,2,0.05,100000,0.001
0.63072467,0.55,2,0.05,100000,0.001
0.7017802,0.6000000000000001,2,0.05,100000,0.001
0.75640106,0.6500000000000001,2,0.05,100000,0.001
0.79617965,0.7000000000000001,2,0.05,100000,0.001
0.8387125,0.7500000000000001,2,0.05,100000,0.001
0.8819698,0.8,2,0.05,100000,0.001
