w_signal	w_4b_cut	seed	signal_ratio	noise_scale
0.17575833	0.2	9	0.05	0.1
0.23200883	0.25	9	0.05	0.1
0.32331195	0.3	9	0.05	0.1
0.4223574	0.35000000000000003	9	0.05	0.1
0.5199886	0.4	9	0.05	0.1
0.6052371	0.45	9	0.05	0.1
0.68327737	0.5	9	0.05	0.1
0.7610481	0.55	9	0.05	0.1
0.82344383	0.6000000000000001	9	0.05	0.1
0.87007713	0.6500000000000001	9	0.05	0.1
0.9166169	0.7000000000000001	9	0.05	0.1
0.9475036	0.7500000000000001	9	0.05	0.1
0.9750875	0.8	9	0.05	0.1
0.98532325	0.8500000000000001	9	0.05	0.1
0.99732655	0.9000000000000001	9	0.05	0.1
1.0	0.9500000000000001	9	0.05	0.1
0.6103341	0.05	10	0.05	0.1
0.7454594	0.1	10	0.05	0.1
0.78908837	0.15000000000000002	10	0.05	0.1
0.81222886	0.2	10	0.05	0.1
0.8362145	0.25	10	0.05	0.1
0.8635762	0.3	10	0.05	0.1
0.87070316	0.35000000000000003	10	0.05	0.1
0.87764484	0.4	10	0.05	0.1
0.88725305	0.45	10	0.05	0.1
0.89152044	0.5	10	0.05	0.1
0.9055875	0.55	10	0.05	0.1
0.9182448	0.6000000000000001	10	0.05	0.1
0.9308577	0.6500000000000001	10	0.05	0.1
0.9474451	0.7000000000000001	10	0.05	0.1
0.9570451	0.7500000000000001	10	0.05	0.1
0.96941054	0.8	10	0.05	0.1
0.9788844	0.8500000000000001	10	0.05	0.1
0.98985004	0.9000000000000001	10	0.05	0.1
0.99643946	0.9500000000000001	10	0.05	0.1
0.029847857	0.05	11	0.05	0.1
0.096580304	0.1	11	0.05	0.1
0.15553305	0.15000000000000002	11	0.05	0.1
0.24395096	0.2	11	0.05	0.1
0.30030164	0.25	11	0.05	0.1
0.365374	0.3	11	0.05	0.1
0.4350347	0.35000000000000003	11	0.05	0.1
0.50655156	0.4	11	0.05	0.1
0.5781717	0.45	11	0.05	0.1
0.6527208	0.5	11	0.05	0.1
0.71636593	0.55	11	0.05	0.1
0.78986853	0.6000000000000001	11	0.05	0.1
0.84837615	0.6500000000000001	11	0.05	0.1
0.8800965	0.7000000000000001	11	0.05	0.1
0.93223226	0.7500000000000001	11	0.05	0.1
0.95674527	0.8	11	0.05	0.1
0.97371423	0.8500000000000001	11	0.05	0.1
0.98912066	0.9000000000000001	11	0.05	0.1
0.99314487	0.9500000000000001	11	0.05	0.1
0.37377807	0.05	12	0.05	0.1
0.51103556	0.1	12	0.05	0.1
0.5844531	0.15000000000000002	12	0.05	0.1
0.63899183	0.2	12	0.05	0.1
0.69167966	0.25	12	0.05	0.1
0.739623	0.3	12	0.05	0.1
0.7791956	0.35000000000000003	12	0.05	0.1
0.81088376	0.4	12	0.05	0.1
0.83797693	0.45	12	0.05	0.1
0.86404794	0.5	12	0.05	0.1
0.88794017	0.55	12	0.05	0.1
0.90903616	0.6000000000000001	12	0.05	0.1
0.92603	0.6500000000000001	12	0.05	0.1
0.94708836	0.7000000000000001	12	0.05	0.1
0.95409036	0.7500000000000001	12	0.05	0.1
0.96655023	0.8	12	0.05	0.1
0.979114	0.8500000000000001	12	0.05	0.1
0.99031734	0.9000000000000001	12	0.05	0.1
1.0000001	0.9500000000000001	12	0.05	0.1
0.60321563	0.05	13	0.05	0.1
0.7447678	0.1	13	0.05	0.1
0.7925381	0.15000000000000002	13	0.05	0.1
0.81960094	0.2	13	0.05	0.1
0.84364027	0.25	13	0.05	0.1
