w_signal	w_4b_cut	seed	signal_ratio	noise_scale
0.9789407	0.8500000000000001	0	0.03	0.1
0.9906515	0.9000000000000001	0	0.03	0.1
1.0	0.9500000000000001	0	0.03	0.1
0.018842688	0.05	0	0.03	0.15
0.04510527	0.1	0	0.03	0.15
0.07127542	0.15000000000000002	0	0.03	0.15
0.11028377	0.2	0	0.03	0.15
0.16353936	0.25	0	0.03	0.15
0.22465727	0.3	0	0.03	0.15
0.31920946	0.35000000000000003	0	0.03	0.15
0.4160494	0.4	0	0.03	0.15
0.50177616	0.45	0	0.03	0.15
0.5775383	0.5	0	0.03	0.15
0.6800068	0.55	0	0.03	0.15
0.7607086	0.6000000000000001	0	0.03	0.15
0.8376946	0.6500000000000001	0	0.03	0.15
0.89089775	0.7000000000000001	0	0.03	0.15
0.93385726	0.7500000000000001	0	0.03	0.15
0.9720458	0.8	0	0.03	0.15
0.9904395	0.8500000000000001	0	0.03	0.15
1.0000004	0.9000000000000001	0	0.03	0.15
1.0000004	0.9500000000000001	0	0.03	0.15
0.015358683	0.05	0	0.03	0.2
0.03401275	0.1	0	0.03	0.2
0.0641888	0.15000000000000002	0	0.03	0.2
0.10364544	0.2	0	0.03	0.2
0.1439051	0.25	0	0.03	0.2
0.22110575	0.3	0	0.03	0.2
0.29789832	0.35000000000000003	0	0.03	0.2
0.40780458	0.4	0	0.03	0.2
0.51089805	0.45	0	0.03	0.2
0.5993611	0.5	0	0.03	0.2
0.695838	0.55	0	0.03	0.2
0.78197867	0.6000000000000001	0	0.03	0.2
0.8497181	0.6500000000000001	0	0.03	0.2
0.9083025	0.7000000000000001	0	0.03	0.2
0.94255984	0.7500000000000001	0	0.03	0.2
0.97855943	0.8	0	0.03	0.2
0.9933574	0.8500000000000001	0	0.03	0.2
1.0000004	0.9000000000000001	0	0.03	0.2
1.0000004	0.9500000000000001	0	0.03	0.2
0.09787779	0.05	1	0.03	0.1
0.15674782	0.1	1	0.03	0.1
0.23260328	0.15000000000000002	1	0.03	0.1
0.3130441	0.2	1	0.03	0.1
0.38799363	0.25	1	0.03	0.1
0.4444078	0.3	1	0.03	0.1
0.5164326	0.35000000000000003	1	0.03	0.1
0.5908459	0.4	1	0.03	0.1
0.65362537	0.45	1	0.03	0.1
0.72269064	0.5	1	0.03	0.1
0.7677868	0.55	1	0.03	0.1
0.8215156	0.6000000000000001	1	0.03	0.1
0.8594813	0.6500000000000001	1	0.03	0.1
0.8905157	0.7000000000000001	1	0.03	0.1
0.91253746	0.7500000000000001	1	0.03	0.1
0.93286085	0.8	1	0.03	0.1
0.96147585	0.8500000000000001	1	0.03	0.1
0.9849602	0.9000000000000001	1	0.03	0.1
0.99340874	0.9500000000000001	1	0.03	0.1
0.0870773	0.05	1	0.03	0.05
0.15507887	0.1	1	0.03	0.05
0.22232768	0.15000000000000002	1	0.03	0.05
0.30595297	0.2	1	0.03	0.05
0.3703221	0.25	1	0.03	0.05
0.42522386	0.3	1	0.03	0.05
0.49170658	0.35000000000000003	1	0.03	0.05
0.5625933	0.4	1	0.03	0.05
0.6413887	0.45	1	0.03	0.05
0.7084482	0.5	1	0.03	0.05
0.7588165	0.55	1	0.03	0.05
0.80215657	0.6000000000000001	1	0.03	0.05
0.850401	0.6500000000000001	1	0.03	0.05
0.8815999	0.7000000000000001	1	0.03	0.05
0.91075605	0.7500000000000001	1	0.03	0.05
0.9375805	0.8	1	0.03	0.05
0.9699362	0.8500000000000001	1	0.03	0.05
0.99005085	0.9000000000000001	1	0.03	0.05
0.9934103	0.9500000000000001	1	0.03	0.05
0.09058862	0.05	1	0.03	0.2
0.1603519	0.1	1	0.03	0.2
0.22918351	0.15000000000000002	1	0.03	0.2
0.30724442	0.2	1	0.03	0.2
0.3792343	0.25	1	0.03	0.2
0.4427412	0.3	1	0.03	0.2
