w_signal,w_4b_cut,seed,signal_ratio,n_3b,noise_scale
0.708365,0.5,2,0.01,100000,1.0
0.73396087,0.55,2,0.01,100000,1.0
0.77189726,0.6000000000000001,2,0.01,100000,1.0
0.8027689,0.65,2,0.01,100000,1.0
0.85461366,0.7000000000000001,2,0.01,100000,1.0
0.89120597,0.75,2,0.01,100000,1.0
0.93426937,0.8,2,0.01,100000,1.0
0.96244127,0.8500000000000001,2,0.01,100000,1.0
0.9730166,0.9,2,0.01,100000,1.0
0.9894809,0.9500000000000001,2,0.01,100000,1.0
1.0,1.0,2,0.01,100000,1.0
0.0,0.0,2,0.01,100000,2.0
0.03936213,0.05,2,0.01,100000,2.0
0.10524665,0.1,2,0.01,100000,2.0
0.12824568,0.15000000000000002,2,0.01,100000,2.0
0.20223868,0.2,2,0.01,100000,2.0
0.25477293,0.25,2,0.01,100000,2.0
0.30964452,0.30000000000000004,2,0.01,100000,2.0
0.40116686,0.35000000000000003,2,0.01,100000,2.0
0.47847474,0.4,2,0.01,100000,2.0
0.5747739,0.45,2,0.01,100000,2.0
0.6554878,0.5,2,0.01,100000,2.0
0.74144274,0.55,2,0.01,100000,2.0
0.8047206,0.6000000000000001,2,0.01,100000,2.0
0.84193337,0.65,2,0.01,100000,2.0
0.8848814,0.7000000000000001,2,0.01,100000,2.0
0.9242639,0.75,2,0.01,100000,2.0
0.9654935,0.8,2,0.01,100000,2.0
0.9828088,0.8500000000000001,2,0.01,100000,2.0
0.99327517,0.9,2,0.01,100000,2.0
1.0,0.9500000000000001,2,0.01,100000,2.0
1.0,1.0,2,0.01,100000,2.0
0.0,0.0,2,0.01,100000,3.0
0.009545664,0.05,2,0.01,100000,3.0
0.043201663,0.1,2,0.01,100000,3.0
0.075985186,0.15000000000000002,2,0.01,100000,3.0
0.11063369,0.2,2,0.01,100000,3.0
0.16234662,0.25,2,0.01,100000,3.0
0.2309071,0.30000000000000004,2,0.01,100000,3.0
0.2942404,0.35000000000000003,2,0.01,100000,3.0
0.402671,0.4,2,0.01,100000,3.0
0.51173884,0.45,2,0.01,100000,3.0
0.6238205,0.5,2,0.01,100000,3.0
0.72115046,0.55,2,0.01,100000,3.0
0.7921352,0.6000000000000001,2,0.01,100000,3.0
0.84394014,0.65,2,0.01,100000,3.0
0.88996345,0.7000000000000001,2,0.01,100000,3.0
0.927877,0.75,2,0.01,100000,3.0
0.9633005,0.8,2,0.01,100000,3.0
0.9862104,0.8500000000000001,2,0.01,100000,3.0
0.9950234,0.9,2,0.01,100000,3.0
1.0,0.9500000000000001,2,0.01,100000,3.0
1.0,1.0,2,0.01,100000,3.0
0.0,0.0,3,0.01,100000,1.0
0.043485116,0.05,3,0.01,100000,1.0
0.10842573,0.1,3,0.01,100000,1.0
0.17185688,0.15000000000000002,3,0.01,100000,1.0
0.24127401,0.2,3,0.01,100000,1.0
0.32112724,0.25,3,0.01,100000,1.0
0.37490603,0.30000000000000004,3,0.01,100000,1.0
0.43478552,0.35000000000000003,3,0.01,100000,1.0
0.517457,0.4,3,0.01,100000,1.0
0.5800518,0.45,3,0.01,100000,1.0
0.64402944,0.5,3,0.01,100000,1.0
0.69565094,0.55,3,0.01,100000,1.0
0.76130086,0.6000000000000001,3,0.01,100000,1.0
0.8249756,0.65,3,0.01,100000,1.0
0.8753062,0.7000000000000001,3,0.01,100000,1.0
0.9102727,0.75,3,0.01,100000,1.0
0.941992,0.8,3,0.01,100000,1.0
0.9676704,0.8500000000000001,3,0.01,100000,1.0
0.9895935,0.9,3,0.01,100000,1.0
1.0,0.9500000000000001,3,0.01,100000,1.0
1.0,1.0,3,0.01,100000,1.0
0.0,0.0,3,0.01,100000,2.0
0.006250472,0.05,3,0.01,100000,2.0
0.038594108,0.1,3,0.01,100000,2.0
0.09406326,0.15000000000000002,3,0.01,100000,2.0
0.15528648,0.2,3,0.01,100000,2.0
0.20682617,0.25,3,0.01,100000,2.0
0.28490368,0.30000000000000004,3,0.01,100000,2.0
0.3872756,0.35000000000000003,3,0.01,100000,2.0
0.4881732,0.4,3,0.01,100000,2.0
0.5675525,0.45,3,0.01,100000,2.0
0.6550715,0.5,3,0.01,100000,2.0
0.74291337,0.55,3,0.01,100000,2.0
0.81652224,0.6000000000000001,3,0.01,100000,2.0
0.8768201,0.65,3,0.01,100000,2.0
0.9247203,0.7000000000000001,3,0.01,100000,2.0
0.95004934,0.75,3,0.01,100000,2.0
0.9789119,0.8,3,0.01,100000,2.0
0.98956984,0.8500000000000001,3,0.01,100000,2.0
0.9949514,0.9,3,0.01,100000,2.0
0.99827117,0.9500000000000001,3,0.01,100000,2.0
1.0,1.0,3,0.01,100000,2.0
0.0,0.0,3,0.01,100000,3.0
0.0,0.05,3,0.01,100000,3.0
0.0,0.1,3,0.01,100000,3.0
0.0,0.15000000000000002,3,0.01,100000,3.0
0.012312932,0.2,3,0.01,100000,3.0
0.05275404,0.25,3,0.01,100000,3.0
0.1430701,0.30000000000000004,3,0.01,100000,3.0
0.23037717,0.35000000000000003,3,0.01,100000,3.0
0.37727934,0.4,3,0.01,100000,3.0
0.51827055,0.45,3,0.01,100000,3.0
0.6307049,0.5,3,0.01,100000,3.0
0.7491128,0.55,3,0.01,100000,3.0
