hash	concentration_SR	size_SR
241024_003223_426121_KZI1gW	0.6651769876480103	0.049674083
241024_003223_752359_Cr6qRd	0.08812786638736725	0.04984319
241024_010059_200025_8bjmy0	0.5607443451881409	0.049482007
241024_010042_815219_4Ep6OF	0.0	0.049853254
241024_010145_509065_KZNLKy	0.0011417970526963472	0.050021295
241024_012906_643115_LHqVkL	0.7298371195793152	0.05044227
241024_012907_799527_UMyquX	0.0	0.050219174
241024_013115_617534_3Z2OxJ	0.08833731710910797	0.049474712
241024_015722_630949_LOcdZ1	0.7852272987365723	0.050311185
241024_015728_017120_QCxYiY	0.0	0.050134648
241024_020011_112487_uDFYw5	0.5446423888206482	0.04950035
241024_022127_925322_142LGM	0.0	0.049720123
241024_022134_224580_qyeEVp	0.5127518177032471	0.05004347
241024_022126_591089_IF4G5t	0.28243881464004517	0.050528836
241024_022318_005479_jfaP0M	0.46823152899742126	0.0490977
241024_022407_717828_mcfQmJ	0.0	0.049699567
241024_022830_004115_J4xMr0	0.3823545277118683	0.04951479
241024_024953_128298_kzKKGu	0.0	0.04950542
241024_025048_835698_JncJcj	0.006440123077481985	0.049129415
241024_025056_935066_oCCvBE	0.0735846534371376	0.049281128
241024_025317_150142_xaCN0P	0.3050435185432434	0.0495024
241024_025356_019420_kHHILH	0.0	0.051169608
241024_025822_656278_d2uJKU	0.5537539720535278	0.04980439
241024_031651_332728_hAiO6m	0.0	0.049823444
241024_031921_745850_Vzsfmn	0.408404141664505	0.050568867
241024_031941_759923_X59XNM	0.17618660628795624	0.04968359
241024_032157_291920_XDWeRe	0.6885207295417786	0.04977215
241024_032241_977881_Nw3DoA	0.0	0.04943133
241024_032650_247474_ExhhnI	0.34931957721710205	0.049446743
241024_034242_088256_ZC6s8B	0.0	0.049809426
241024_034534_666741_lq4KAO	0.3463275134563446	0.049279787
241024_034548_296410_QcXZXp	0.16309687495231628	0.049595427
241024_034818_118723_fA8A7U	0.6178076863288879	0.049621254
241024_034902_739805_lLruZk	0.0	0.049229536
241024_035358_210152_SsuNH7	0.14296996593475342	0.04961888
241024_041151_125351_OgMg3X	0.0	0.050103616
241024_041457_577480_uoe6Yp	0.41353580355644226	0.049917266
241024_041548_600265_N7stKf	0.2240014374256134	0.049973648
241024_041825_134831_HmWpxD	0.13903199136257172	0.05023605
241024_041916_794757_w8YkYX	0.0	0.04869322
241024_042410_674367_DDSrlp	0.3136598765850067	0.049625054
241024_043923_467610_3AbEtH	0.0	0.050183713
241024_044406_783619_kiVaBZ	0.4176484942436218	0.0488697
241024_044533_699310_tv2Jbi	0.599298357963562	0.04962754
241024_044834_022095_atwVIT	0.5577883124351501	0.049888857
241024_044917_681322_InCOJC	0.0	0.04980635
241024_045317_962714_Ap8OrJ	0.1264038234949112	0.05028723
241024_050809_262087_8agk3R	0.0	0.04959814
241024_051333_292925_HcxvLH	0.3509126305580139	0.04955642
241024_051544_670225_0cSqu6	0.5059773921966553	0.04960212
241024_053501_239683_3mlrKE	0.0	0.049995046
241024_054206_090382_4jzN4f	0.3335546553134918	0.04939086
241024_054454_314031_isU9NV	0.15645281970500946	0.049334105
241024_060317_694315_qtJWpJ	0.0	0.049762227
241024_061055_109705_NFQURp	0.1762557029724121	0.050079294
241024_061433_091937_ievsZb	0.7494389414787292	0.049177263
241024_063203_619345_FdMLSr	0.0	0.049892794
241024_064002_748322_Eg5PLU	0.04161503538489342	0.049873278
241024_064339_189040_BEihBI	0.07263804227113724	0.049649585
241024_091436_727315_1E4h0v	0.0	0.04961377
241024_091440_543054_ikw42q	0.38631221652030945	0.04994593
241024_091438_717887_dKF8vI	0.627168595790863	0.04985563
241024_094305_123340_llMhIm	0.0	0.049681768
241024_094402_990101_y9LnX5	0.7381477355957031	0.04995086
241024_094423_638506_CAU7z1	0.12488975375890732	0.04923184
241024_101137_021266_8to42P	0.0	0.05020314
241024_101330_971428_ltwbe8	0.0690627321600914	0.04967644
241024_101405_174113_0RQNII	0.48694849014282227	0.05024166
241024_103954_002013_gEW2tW	0.0	0.05013007
241024_104234_043945_ipOQ7x	0.5801333785057068	0.049342472
241024_104327_428074_GrTYc4	0.12441768497228622	0.04984832
241024_110820_471902_o6JgNu	0.0	0.049927797
241024_111153_437890_Eo9vLA	0.501170814037323	0.04953209
241024_111253_562778_mpzUMG	0.030980654060840607	0.049504235
241024_113647_972237_2Jor6f	0.0	0.049435075
241024_113912_444300_C0rSnj	0.001749741961248219	0.04963259
241024_114024_664815_odUvir	0.08284308761358261	0.049898144
241024_120640_517044_pWVE5R	0.0	0.04958451
241024_120833_880141_pKMvx6	0.31858718395233154	0.050177354
241024_121004_308422_xmm4Nr	0.047011975198984146	0.050252907
241024_123557_553801_rgnflS	0.0	0.049886417
241024_123722_709855_wsFMpq	0.7134681940078735	0.050276227
241024_123756_307750_OOOza4	0.5247929096221924	0.04981237
241024_130526_574347_NLzp1g	0.0	0.04924163
241024_130717_597562_oRkAdF	0.6434274315834045	0.050182737
241024_130633_179679_SZRxDl	0.28119736909866333	0.04947329
241024_133442_664294_PnfbAQ	0.0	0.049903676
241024_133541_491711_THsNbR	0.4600418508052826	0.050384976
241024_133534_658474_De8wVK	0.7422723770141602	0.049171846
241024_154021_573283_kj0Rlm	0.6651902794837952	0.049156368
241024_154012_363290_nI7zzT	0.0	0.04992974
241024_154016_324222_0rRArZ	0.13007386028766632	0.049925856
241024_160455_389568_Gdinyg	0.45518526434898376	0.049319554
241024_160515_647360_55onsr	0.0	0.049503468
241024_160520_248507_3UuH2v	0.29588747024536133	0.049833838
241024_162942_512158_wHj4vw	0.3459516167640686	0.049878027
241024_163022_062893_Kuhz2e	0.0	0.04977709
241024_163043_290117_6anNh6	0.024594327434897423	0.04972544
241024_165713_774648_KCpQ8j	0.2085658609867096	0.049968965
241024_165851_761372_DI0Elt	0.0	0.050365876
241024_165951_552981_pFjAS8	0.5925132036209106	0.05008537
241024_172644_839075_6bZKbR	0.30185216665267944	0.050216146
241024_172858_793404_GNI5Oo	0.0	0.049742684
241024_172935_358293_AHZQhd	0.1589650958776474	0.049674943
241024_175549_567506_8OkrKG	0.32061564922332764	0.049344398
241024_175849_786829_axhuDe	0.0	0.05003113
241024_175923_061065_MzNKH7	0.5278055667877197	0.04987319
241024_182526_115178_G0PAmK	0.6302295327186584	0.04929228
241024_182846_796799_TJvRXm	0.0	0.050085038
241024_182905_104715_jNOrax	0.6593774557113647	0.049178302
241024_185505_596709_SzX87T	0.5640284419059753	0.049099863
241024_185909_751937_tnPzHD	0.0	0.04913751
241024_185938_918061_v0TUpL	0.08245465904474258	0.050402768
241024_192536_265536_drx6j1	0.10881173610687256	0.0501617
241024_192950_822865_41rFzF	0.0	0.049473308
241024_193022_073996_XLrjgO	0.26153457164764404	0.050366145
241024_195155_008378_fwyK57	0.13897928595542908	0.04918737
241024_195639_966724_hn16ho	0.0	0.04978705
241024_195714_170321_SSKAUn	0.06790792942047119	0.050734974
241024_205005_726425_BxBa01	0.20105032622814178	0.04929176
241024_204953_358347_4E8aUj	0.20207186043262482	0.050521474
241024_204959_608561_8mfpoJ	0.0	0.05014268
241024_211447_495905_adLu10	0.14427056908607483	0.050168015
241024_211504_689598_rQv8oe	0.1883837729692459	0.049481075
241024_211525_589251_QXePPr	0.0	0.04934597
241024_213943_691732_b9woKY	0.2841213047504425	0.049027674
241024_214031_869704_wl3fd3	0.10668377578258514	0.05012253
241024_214109_063990_002diI	0.0	0.04913276
241024_220453_405365_Nm8CDF	0.30855005979537964	0.04918328
241024_220629_666763_63AFOl	0.12151456624269485	0.04997286
241024_220637_284586_wG1dzQ	0.0	0.049291175
241024_223008_324295_LBEBPm	0.02905145101249218	0.050540064
241024_223204_605015_e2Xh29	0.09661431610584259	0.05049611
241024_223215_635404_Tmgw1S	0.0	0.050445795
241024_225512_915826_Wf3mW6	0.1339651346206665	0.04958915
241024_225737_928847_LTiYrX	0.14450079202651978	0.0493175
241024_225815_514670_omHoxu	0.0	0.04935336
241024_232013_089982_lUGx2d	0.13975529372692108	0.050593197
241024_232302_904425_NFOQBV	0.08901705592870712	0.049861003
241024_232357_078963_yL5GCo	0.0	0.050011884
241024_234517_432651_XBhX1S	0.004082238767296076	0.04951676
241024_234830_438530_yeFL0h	0.08115582168102264	0.04956769
241024_234944_595923_hH53nI	0.0	0.04914745
241025_001027_040010_ACDt7A	0.12273001670837402	0.049531944
241025_001411_510150_VYr3uK	0.15527430176734924	0.050078936
241025_001542_550610_ZGDPaN	0.0	0.050226737
241025_003700_901381_c5G9MB	0.5599057674407959	0.049564354
241025_004109_088425_PWLwsb	0.1423579603433609	0.049773443
241025_004311_649899_vGg73g	0.0	0.049860157
