w_signal	w_4b_cut	seed	signal_ratio	n_3b
0.92292756	0.8500000000000001	1	0.01	100000
0.97007483	0.9000000000000001	1	0.01	100000
0.98464876	0.9500000000000001	1	0.01	100000
0.036925435	0.05	1	0.02	100000
0.07324432	0.1	1	0.02	100000
0.14037701	0.15000000000000002	1	0.02	100000
0.19642024	0.2	1	0.02	100000
0.25895682	0.25	1	0.02	100000
0.3206318	0.3	1	0.02	100000
0.39659598	0.35000000000000003	1	0.02	100000
0.45400682	0.4	1	0.02	100000
0.54827183	0.45	1	0.02	100000
0.630807	0.5	1	0.02	100000
0.6916269	0.55	1	0.02	100000
0.7653001	0.6000000000000001	1	0.02	100000
0.7909196	0.6500000000000001	1	0.02	100000
0.8433681	0.7000000000000001	1	0.02	100000
0.89614874	0.7500000000000001	1	0.02	100000
0.92223084	0.8	1	0.02	100000
0.94439524	0.8500000000000001	1	0.02	100000
0.9819165	0.9000000000000001	1	0.02	100000
0.9896473	0.9500000000000001	1	0.02	100000
0.08818851	0.05	1	0.03	100000
0.15324046	0.1	1	0.03	100000
0.22624277	0.15000000000000002	1	0.03	100000
0.3043362	0.2	1	0.03	100000
0.37276208	0.25	1	0.03	100000
0.42491665	0.3	1	0.03	100000
0.48164976	0.35000000000000003	1	0.03	100000
0.5573823	0.4	1	0.03	100000
0.64538276	0.45	1	0.03	100000
0.7072411	0.5	1	0.03	100000
0.7611145	0.55	1	0.03	100000
0.8042197	0.6000000000000001	1	0.03	100000
0.84753	0.6500000000000001	1	0.03	100000
0.8706237	0.7000000000000001	1	0.03	100000
0.91580826	0.7500000000000001	1	0.03	100000
0.93830615	0.8	1	0.03	100000
0.9680389	0.8500000000000001	1	0.03	100000
0.99021167	0.9000000000000001	1	0.03	100000
0.99760616	0.9500000000000001	1	0.03	100000
0.50133634	0.05	1	0.04	100000
0.6119993	0.1	1	0.04	100000
0.68621844	0.15000000000000002	1	0.04	100000
0.7198725	0.2	1	0.04	100000
0.7574043	0.25	1	0.04	100000
0.7784098	0.3	1	0.04	100000
0.8175657	0.35000000000000003	1	0.04	100000
0.83795476	0.4	1	0.04	100000
0.85663676	0.45	1	0.04	100000
0.8691779	0.5	1	0.04	100000
0.885527	0.55	1	0.04	100000
0.9087111	0.6000000000000001	1	0.04	100000
0.932302	0.6500000000000001	1	0.04	100000
0.9484513	0.7000000000000001	1	0.04	100000
0.9664895	0.7500000000000001	1	0.04	100000
0.9736578	0.8	1	0.04	100000
0.9858669	0.8500000000000001	1	0.04	100000
0.9946514	0.9000000000000001	1	0.04	100000
0.99649024	0.9500000000000001	1	0.04	100000
0.6229261	0.05	1	0.05	100000
0.7589317	0.1	1	0.05	100000
0.8155902	0.15000000000000002	1	0.05	100000
0.8476107	0.2	1	0.05	100000
0.8612012	0.25	1	0.05	100000
0.88050836	0.3	1	0.05	100000
0.89844406	0.35000000000000003	1	0.05	100000
0.9121014	0.4	1	0.05	100000
0.92842937	0.45	1	0.05	100000
0.9373766	0.5	1	0.05	100000
0.9492335	0.55	1	0.05	100000
0.9611703	0.6000000000000001	1	0.05	100000
0.9641121	0.6500000000000001	1	0.05	100000
0.9698686	0.7000000000000001	1	0.05	100000
0.978547	0.7500000000000001	1	0.05	100000
0.98160326	0.8	1	0.05	100000
0.9846149	0.8500000000000001	1	0.05	100000
0.99308664	0.9000000000000001	1	0.05	100000
0.99586934	0.9500000000000001	1	0.05	100000
0.0724953	0.05	2	0.01	100000
0.15253183	0.1	2	0.01	100000
0.23104899	0.15000000000000002	2	0.01	100000
0.34534383	0.2	2	0.01	100000
0.46725115	0.25	2	0.01	100000
0.5291961	0.3	2	0.01	100000
0.6071381	0.35000000000000003	2	0.01	100000
0.66985565	0.4	2	0.01	100000
0.73275626	0.45	2	0.01	100000
0.788574	0.5	2	0.01	100000
